,СОШ,Наличие
492,МКОУ Прогимназия № 10 Сказка,
493,МКОУ Прогимназия № 6 Ивушка,
494,МКОУ Прогимназия № 9 Ручеёк,
495,МКОУ СОШ № 10 им. А.Исмаилова,YES
496,МКОУ СОШ № 11,YES
497,МКОУ СОШ № 12 им. Л.Толстого,YES
498,МКОУ СОШ № 14,YES
499,МКОУ СОШ № 15,YES
500,МКОУ СОШ № 16,YES
501,МКОУ СОШ № 17,YES
502,МКОУ СОШ № 19,YES
503,МКОУ СОШ № 2,YES
504,МКОУ СОШ № 3 им.С.Джанхуватова,YES
505,МКОУ СОШ № 4,YES
506,МКОУ СОШ № 5,YES
507,МКОУ СОШ № 7 им. А. Алибекова,YES
508,МКОУ СОШ № 8,YES
509,МКОУ СОШ № 9,YES
510,МКОУ ХМЛ им. А. Абукова,YES
511,  г. Южносухокумск,
512,МКОУ СОШ №1 ,YES
513,МКОУ СОШ №2 ,YES
514,МКОУ СОШ №3,YES
515,МКОУ СОШ №4 ,YES
516,  Гергебильский район,
517,МКОУ Гергебильская СОШ №1,
518,МКОУ Гергебильская СОШ №2,YES
519,МКОУ Кикунинская СОШ,YES
520,МКОУ Кудутлинская СОШ,YES
521,МКОУ Могохская СОШ,YES
522,МКОУ Аймакинская СОШ им.Шамиля Л.З.,YES
523,МКОУ Маалинская СОШ,YES
524,МКОУ Мурадинская СОШ,YES
525,МКОУ Хвартикунинская СОШ,YES
526,МКОУ Чалдинская СОШ,YES
527,  Гумбетовский район,
528,МКОУ Арадирихская СОШ,YES
529,МКОУ Аргванинская СОШ,YES
530,МКОУ Верхнеарадерихская НОШ,
531,МКОУ Верхнеинховская СОШ,YES
532,МКОУ Данухская СОШ,YES
533,МКОУ Игалинская СОШ,YES
534,МКОУ Ингишинская СОШ,YES
535,МКОУ Ичичалинская НОШ,
536,МКОУ Килятлинская СОШ,YES
537,МКОУ Кунзахская ООШ,YES
538,МКОУ Мехельтинская ООШ,YES
539,МКОУ Мехельтинская СОШ,YES
540,МКОУ Нижне-Инховская СОШ,YES
541,МКОУ Ново-Аргванинская СОШ,YES
542,МКОУ Тантаринская НОШ,
543,МКОУ Тляратинская СОШ,YES
544,МКОУ Цанатлинская ООШ,YES
545,МКОУ Цилитлинская СОШ,YES
546,МКОУ Чиркатинская СОШ,YES
547,МКОУ Читлинская ООШ,YES
548,МКОУ Шабдухская НОШ,
549,  Гунибский район,
550,МБОУ Гунибская СОШ,YES
551,МКОУ Агадинская СОШ,YES
552,МКОУ Бацадинская СОШ,YES
553,МКОУ Бухтынская СОШ,YES
554,МКОУ Гонодинская СОШ,YES
555,МКОУ Карадахская СОШ,YES
556,МКОУ Кегерская СОШ,YES
557,МКОУ Кородинская СОШ,YES
558,МКОУ Кудалинская СОШ,YES
559,МКОУ Мегебская СОШ,YES
560,МКОУ Н.Кегерская СОШ им. И. Ибрагимова,YES
561,МКОУ Наказухская НОШ,
562,МКОУ Обохская СОШ,YES
563,МКОУ Ругуджинская СОШ,YES
564,МКОУ Салтынская СОШ,YES
565,МКОУ Сильтинская НОШ,
566,МКОУ Согратлинская гимназия имени М. Махатилова,YES
567,МКОУ Тлогобская СОШ,YES
568,МКОУ Унтынская ООШ,YES
569,МКОУ Уралинская СОШ,YES
570,МКОУ Хиндахская СОШ,YES
571,МКОУ Хоточинская СОШ,YES
572,МКОУ Хутнибская СОШ ,YES
573,МКОУ Чох-Коммунская СОШ,YES
574,МКОУ Чохская СОШ,YES
575,МКОУ Шангодинская СОШ,YES
576,МКОУ Шуланинская СОШ,YES
577,филиал Гунибской СОШ,
578,  Дахадаевский район,
579,МБОУ Аштынская СОШ,
580,МБОУ Бакнинская ООШ,YES
581,МБОУ Бускринская СОШ,YES
582,МБОУ Гаджи-кутанская ООШ,YES
583,МБОУ Гуладтынская СОШ,YES
584,МБОУ Гунакаринская ООШ,YES
585,МБОУ Дзилебкинская ООШ,YES
