,СОШ,Наличие
368,МКОУ БАБАЮРТОВСКАЯ СОШ №3,YES
369,МКОУ БАЙРАМАУЛЬСКАЯ СОШ ,YES
370,МКОУ БАКНИНСКАЯ ООШ,YES
371,МКОУ Балакуринская СОШ,YES
372,МКОУ БАЛТАМАХИНСКАЯ СОШ,YES
373,МКОУ Бамматюртовская СОШ,YES
374,МКОУ БАНАЙЮРТОВСКАЯ СОШ,YES
375,МКОУ БАРНАБСКАЯ ООШ,YES
376,МКОУ БАРШАМАЙСКАЯ СОШ,YES
377,МКОУ БАТЛУХСКАЯ НОШ,YES
378,МКОУ БАТЫР-МУРЗАЕВСКАЯ СОШ,YES
379,МКОУ БАЦАДИНСКАЯ СОШ,YES
380,МКОУ БАШЛЫКЕНТСКАЯ СОШ,YES
381,МКОУ БЕДЮКСКАЯ СОШ,YES
382,МКОУ Бежтинская СОШ,YES
383,МКОУ БЕЛИДЖИНСКАЯ ГИМНАЗИЯ № 1 ,YES
384,МКОУ БЕРИКЕЙСКАЯ СОШ,
385,МКОУ БИЛБИЛЬСКАЯ СОШ,YES
386,МКОУ БИЛЬГАДИНСКАЯ ООШ,
387,МКОУ Большеарешевская СОШ,YES
388,МКОУ Большебредихинская СОШ,YES
389,МКОУ Большезадоевская СОШ,YES
390,МКОУ Бондареновская ООШ,YES
391,МКОУ БОРАГАНГЕЧУВСКАЯ СОШ,YES
392,МКОУ БОРАНЧИНСКАЯ СОШ,
393,МКОУ Боташюртовская СОШ им Ахаева,
394,МКОУ БОТАЮРТОВСКАЯ СОШ,YES
395,МКОУ БОТЛИХСКАЯ СОШ № 3,YES
396,МКОУ БОТЛИХСКАЯ СОШ №1,YES
397,МКОУ БОТЛИХСКАЯ СОШ №2,YES
398,МКОУ Брянская СОШ,YES
399,МКОУ БУРГАНКЕНТСКАЯ СОШ,
400,МКОУ БУРГИМАКМАХИНСКАЯ СОШ,YES
401,МКОУ БУРДЕКИНСКАЯ СОШ,YES
402,МКОУ БУРКИХАНСКАЯ СОШ,YES
403,МКОУ Буртунайская СОШ,YES
