МКОУ Совхозная СОШ 6 с.Юбилейное
МКОУ Совхозная СОШ
МКОУ СОШ 5
МКОУ СОШ 1 г. Избербаш
МКОУ СОШ 10 г. Избербаш
МКОУ СОШ 11 г.Кизляр
МКОУ СОШ 11 г. Кизляр
МКОУ СОШ 11 г.Избербаш
МКОУ СОШ 12 г. Избербаш
МКОУ СОШ 5 г. Кизляр
МКОУ СОШ № 1 БЕЛИДЖИ
МКОУ СОШ № 10 г. Буйнакск
МКОУ СОШ № 11 Г. ИЗБЕРБАШ
МКОУ СОШ № 11
МКОУ СОШ № 12 Г. ИЗБЕРБАШ
МКОУ СОШ № 16
МКОУ СОШ № 5
МКОУ СОШ № 5 г. Буйнакск
МКОУ СОШ № 6 г. Буйнакск
МКОУ СОШ №10 ИМ. А.И. ИСМАИЛОВА
МКОУ СОШ №11 г. Буйнакск
МКОУ СОШ №11 г. Буйнакск
МКОУ СОШ №12 ИМ.Л.Н.ТОЛСТОГО
МКОУ СОШ №17
МКОУ СОШ №6  г. Буйнакск
МКОУ СОШ НИЖНИЙ ДЖАЛГАН
МКОУ ССОШ
МКОУ СТ. КАРЛАНЮРТОВСКАЯ СОШ
МКОУ СТАЛЬСКАЯ ГИМНАЗИЯ
МКОУ СТАЛЬСКАЯ СОШ № 2
МКОУ СТАЛЬСКАЯ СОШ № 3
МКОУ Степновская ООШ
МКОУ СУЛТАНЯНГИЮРТОВСКАЯ СОШ №2
МКОУ Султанянгиюртовская СОШ
МКОУ СУМБАТЛИНСКАЯ ООШ
МКОУ СУРХАЧИНСКАЯ ООШ
МКОУ СЮГЮТСКАЯ СОШ ИМ. М.МИТАРОВА
МКОУ ТАГЗИРКЕНТСКАЯ ООШ
МКОУ Таловская СОШ
МКОУ ТАНДОВСКАЯ СОШ
МКОУ Танусинская СОШ им. Шамхалова
МКОУ ТАСУТИНСКАЯ ООШ
МКОУ ТЕМИРАУЛЬСКАЯ СО
МКОУ ТЕМИРАУЛЬСКАЯ СОШ
МКОУ ТЕРЕЧНАЯ СОШ
МКОУ Теркли-мектебская СОШ
МКОУ Тидибская СОШ
МКОУ ТИЛАГИНСКАЯ ООШ
МКОУ ТИНИТСКАЯ СОШ
МКОУ ТЛОГОБСКАЯ СОШ
МКОУ ТЛОХСКАЯ СОШ
МКОУ ТЛЯНУБСКАЯ СОШ
МКОУ Тляхская СОШ
МКОУ Тогохская СОШ
МКОУ ТОТУРБИЙКАЛИНСКАЯ СОШ
МКОУ ТСОШ
МКОУ ТУРАГСКАЯ СОШ
МКОУ ТУРУФСКАЯ СОШ
МКОУ ТУХЧАРСКАЯ СОШ №1
МКОУ ТУХЧАРСКАЯ СОШ
МКОУ Тушиловская ООШ
МКОУ ТЮБИНСКАЯ ВСОШ
МКОУ ТЮПКУТАНСКАЯ СОШ
МКОУ УЙ-САЛГАНСКАЯ ООШ
МКОУ УЛЛУГАТАГСКАЯ СОШ
МКОУ УЛУЗСКАЯ ООШ
МКОУ УМЛ
МКОУ УНТЫНСКАЯ ООШ
МКОУ УНЧУКАТЛИНСКАЯ СОШ
МКОУ Урадинская СОШ
МКОУ УРАЛИНСКАЯ СОШ
МКОУ УРАХИНСКАЯ СОШ
МКОУ УРГИНСКАЯ СОШ
МКОУ УРИБСКАЯ ОСШ
МКОУ УРИНСКАЯ ООШ ЛАКСКОГО РАЙОНА
МКОУ Уркарахская МГ
МКОУ УСОШ № 1
МКОУ УСОШ № 2
МКОУ УСУГСКАЯ СОШ
МКОУ УШНИГСКАЯ СОШ
МКОУ ФИРГИЛЬСКАЯ СОШ
МКОУ ФИТИНСКАЯ СОШ
МКОУ ХАДАГИНСКАЯ ООШ
МКОУ ХАЙХИНСКАЯ ОО ШКОЛА - САД
МКОУ ХАЛАГСКАЯ СОШ
МКОУ ХАНАКСКАЯ ООШ
МКОУ ХАСАНАЙСКАЯ СОШ
МКОУ Хвартикунинская СОШ Герг-ий район
МКОУ ХВЕРЕДЖСКАЯ СОШ
МКОУ ХЕЛЕТУРИНСКАЯ СОШ
